ID,Artist,Title,Medium,Links,Details,Size,Category,Owner,Location,Gallery,Status,Value.DRK,Value.FS,Value.Safeco,Acquired,ID.FS,ID.BK,Distributed
26,"Natali, Renato",Vessel,Oil on Board,https://en.wikipedia.org/wiki/Renato_Natali,"Painted in 1935
From Veneziano Via Del Foss, '56
Florence, Italy",25x20cm,Fine Art,Bill,Portland,G. Veneziano,Completed,2000,"$2,000.00",,1989,104,26,2021
48,"Neff, Eileen",Almost #3,Photograph,,,56x41,Fine Art,Cathy,Scottsdale,Locks Gallery PA,Divide,6000,"$2,400.00",6000,2002,3,48,2025
31,"Newell, Bruce",Bronze Table,Bronze,,,,Fine Art,Jean,Scottsdale,Anne Reed,Divide,6500,"$2,200.00",6500,1997,17,31,2025
FS123,Newy Fagan,Fused Glass Horse,,,,,Fine Art,Cathy,Portland,,Completed,,$150.00,,,123,,2021
41,"Papart, Max",Janus,Carborundum Print,https://www.thematthewsgallery.com/artists/196-max-papart/biography/,,,Fine Art,Bill,Scottsdale,Nahan Galleries,Divide,1800,"$1,800.00",,1995,46,41,2025
15,"Papart, Max",Renaissance,Aquatint,https://www.thematthewsgallery.com/artists/196-max-papart/biography/,Edition 37 of 135,34x28,Fine Art,Cathy,Scottsdale,Nahan,Divide,1750,"$1,750.00",,1992,71,15,2025
FS153,"Pettit, Bryce",Mice and Cheese,Bronze and Wood,,"Seven bronze mice, plus little metal houses and a wood block of cheese.",,Art/collectibles,Kevin,Scottsdale,,Divide,,"$1,000.00",,,153,,2025
22,"Picasso, Pablo",Blind Minotaur,Etching,"https://www.moma.org/collection/works/65357
https://scma.smith.edu/blog/picasso-and-minotaur","""Blind Minotaur Guided in the Night by a Little Girl with a Pigeon”. Signed, unnumbered.  
1934
Acquired for $7000 in 1988; appraised at $8000 in 1989",33.65cm x 44.45cm,Fine Art,Bill,Portland,Allied Collection,Completed,8000,"$19,500.00",19500,1988,11,22,2021
56,"Price, Gary",Nature's Friend Frog,Bronze,,,4 ft,Fine Art,,Scottsdale,Xanadu Gallery,Stays,8700,"$1,680.00",8700,2003,55,56,
212,"Provisor, James",Star Trap and Star Throw,Print,,"Prints, Star Trap is 3/15 and has an issue with the framing.  At some point the painting came loose from the mat.  Weirdly, it looks like there is another print behind it.  The frame probably needs to opened up to fix this.

Star Throw is 2/15. ",2 - 24x20,Fine Art,Chris,Portland,Gallery 601 Boise,Completed,,,,,83,212,2021
69,"Rapp, Shelley",Indigo blue,Fiber Sculpture,,,,Fine Art,,Scottsdale,Artist,Stays,2051,"$2,051.00",,2007,45,69,
FS112,"Regan, Laura",Untitled,Print or watercolor ?,,,39x34,Fine Art,Cathy,Portland,,Completed,,,,,112,,2021
13,Reshon,Waterfowl (Two),Watercolor,,Resnon or Reshon?  One piece is in the big bedroom and the other is stored in the garage against the east wall,14x21,Fine Art,Chris,Scottsdale,NJ,Divide,4000,"$4,000.00",4000,1985,106,13,2025
4,"Roland, Mary",Wilton Forest,"Oil on Paper, Photo",,Was at Sun Valley.  This was owned by Kevin but he transferred it to Bill in April ’21.  Bill replaced the frame.,50x38,Fine Art,Bill,Scottsdale,Severn,Completed,3400,"$3,400.00",,1991,108,4,2021
32,"Rude, Brad",Emergence of Form,Oil on Board,https://www.bradrude.com/biography/,,63x43,Fine Art,Kevin,Scottsdale,Severn,Divide,4300,"$4,300.00",4300,1996,31,32,2025
62,"Sable, Suzzane",Good Morning Kiss,Bronze Horses,https://www.worthpoint.com/worthopedia/suzanne-sable-horses-bronze-sculpture-1753475336,,30 in,Fine Art,Cathy,Scottsdale,Brennan Gallery AZ,Divide,7750,"$1,800.00",7750,2003,41,62,2025
64,"Safarik, Leslie",Small Group (3 figures),Ceramic,https://www.safarikstudios.com/about.html,3 ceramic ladies,24 in,Fine Art,Cathy,Scottsdale,Bonner Gallery,Divide,2800,"$2,800.00",,2003,78,64,2025
60,"Salk, David",Apache Tray Basket,Ceramic,,Includes Stand,15 in round,,,Scottsdale,Art America,,1000,,,,,60,
